"Representative Garamendi, John",House: 2009-Present
"Representative Gibbs, Bob",House: 2011-Present
"Representative Gohmert, Louie",House: 2005-Present
"Representative Goodlatte, Bob",House: 1993-Present
"Representative Gosar, Paul A.",House: 2011-Present
"Representative Gowdy, Trey",House: 2011-Present
"Representative Granger, Kay",House: 1997-Present
"Representative Graves, Garret",House: 2015-Present
"Representative Graves, Sam",House: 2001-Present
"Representative Graves, Tom",House: 2010-Present
"Representative Green, Al",House: 2005-Present
"Representative Green, Gene",House: 1993-Present
"Representative Griffith, H. Morgan",House: 2011-Present
"Representative Grijalva, Raul M.",House: 2003-Present
"Representative Grothman, Glenn",House: 2015-Present
"Representative Guthrie, Brett",House: 2009-Present
"Representative Gutierrez, Luis V.",House: 1993-Present
"Representative Hanabusa, Colleen",House: 2011-Present
"Representative Harper, Gregg",House: 2009-Present
"Representative Harris, Andy",House: 2011-Present
"Representative Hartzler, Vicky",House: 2011-Present
"Representative Hastings, Alcee L.",House: 1993-Present
"Representative Heck, Denny",House: 2013-Present
"Representative Hensarling, Jeb",House: 2003-Present
"Representative Herrera Beutler, Jaime",House: 2011-Present
"Representative Hice, Jody B.",House: 2015-Present
"Representative Higgins, Brian",House: 2005-Present
"Representative Hill, J. French",House: 2015-Present
"Representative Himes, James A.",House: 2009-Present
"Representative Holding, George",House: 2013-Present
"Representative Hoyer, Steny H.",House: 1981-Present
"Representative Hudson, Richard",House: 2013-Present
"Representative Huffman, Jared",House: 2013-Present
"Representative Huizenga, Bill",House: 2011-Present
"Representative Hultgren, Randy",House: 2011-Present
"Representative Hunter, Duncan D.",House: 2009-Present
"Representative Hurd, Will",House: 2015-Present
"Representative Issa, Darrell E.",House: 2001-Present
"Representative Jackson Lee, Sheila",House: 1995-Present
"Representative Jeffries, Hakeem S.",House: 2013-Present
"Representative Jenkins, Evan H.",House: 2015-Present
"Representative Jenkins, Lynn",House: 2009-Present
"Representative Johnson, Bill",House: 2011-Present
"Representative Johnson, Eddie Bernice",House: 1993-Present
"Representative Johnson, Henry C. ""Hank,"" Jr.",House: 2007-Present
"Representative Johnson, Sam",House: 1991-Present
"Representative Jones, Walter B., Jr.",House: 1995-Present
"Representative Jordan, Jim",House: 2007-Present
"Representative Joyce, David P.",House: 2013-Present
"Representative Kaptur, Marcy",House: 1983-Present
"Representative Katko, John",House: 2015-Present
"Representative Keating, William R.",House: 2011-Present
"Representative Kelly, Mike",House: 2011-Present
"Representative Kelly, Robin L.",House: 2013-Present
"Representative Kelly, Trent",House: 2015-Present
"Representative Kennedy, Joseph P., III",House: 2013-Present
"Representative Kildee, Daniel T.",House: 2013-Present
"Representative Kilmer, Derek",House: 2013-Present
"Representative Kind, Ron",House: 1997-Present
"Representative King, Peter T.",House: 1993-Present
"Representative King, Steve",House: 2003-Present
"Representative Kinzinger, Adam",House: 2011-Present
"Representative Knight, Stephen",House: 2015-Present
"Representative Kuster, Ann M.",House: 2013-Present
"Representative Labrador, Raul R.",House: 2011-Present
"Representative LaMalfa, Doug",House: 2013-Present
